"price","address","squares","type","year","age","bed","bath","tax","fee"
"$918,000","901 5883 Barker Avenue, Burnaby, BC","935 sq.ft.","Residential, Condo","2017","1","2","2","$1,017",NA
"$918,000","1906 4388 Buchanan Street, Burnaby, BC","1,201 sq.ft.","Residential, Condo","2002","16","2","2","$3,040",NA
"$918,000","724 1777 W 7th Avenue, Vancouver West, BC","795 sq.ft.","Residential, Condo","2013","5","2","1","$2,498",NA
"$918,000","1702 6288 No. 3 Road, Richmond, BC","926 sq.ft.","Residential, Condo","2016","2","2","2","$2,224",NA
"$913,000","705 4083 Cambie Street, Vancouver West, BC","840 sq.ft.","Residential, Condo","2017","1","2","2","$2,552",NA
"$910,000","2503 111 W Georgia Street, Vancouver West, BC","891 sq.ft.","Residential, Condo","2007","11","2","2","$2,145",NA
"$910,000","2606 1308 Hornby Street, Vancouver West, BC","655 sq.ft.","Residential, Condo","2014","4","1","1","$1,873",NA
"$909,000","601 8080 Cambie Road, Richmond, BC","1,205 sq.ft.","Residential, Condo","2008","10","2","2","$2,429",NA
"$909,000","708 188 E Esplanade, North Vancouver, BC","950 sq.ft.","Residential, Condo","2008","10","2","2","$2,472",NA
"$908,000","4302 4485 Skyline Drive, Burnaby, BC","829 sq.ft.","Residential, Condo","2018",NA,"2","2","$3,049",NA
"$900,900","903 680 Seylynn Crescent, North Vancouver, BC","1,000 sq.ft.","Residential, Condo","2018",NA,"2","2",NA,NA
"$900,900","407 210 Salter Street, New Westminster, BC","1,206 sq.ft.","Residential, Condo","2017","1","2","2","$3,311",NA
"$900,000","1011 1331 Alberni Street, Vancouver West, BC","750 sq.ft.","Residential, Condo","1999","19","2","2","$1,656",NA
"$900,000","610 1616 Columbia Street, Vancouver West, BC","845 sq.ft.","Residential, Condo","2010","8","1","1","$2,099",NA
"$900,000","2803 4888 Brentwood Drive, Burnaby, BC","1,033 sq.ft.","Residential, Condo","2008","10","2","2","$2,774",NA
